STATE,COUNTY,CTYNAME,POPESTIMATE2019
1,0,Alabama,4907965
1,1,Autauga County,55769
1,3,Baldwin County,223565
1,5,Barbour County,24657
1,7,Bibb County,22313
1,9,Blount County,57840
1,11,Bullock County,10144
1,13,Butler County,19501
1,15,Calhoun County,114070
1,17,Chambers County,33244
1,19,Cherokee County,26254
1,21,Chilton County,44313
1,23,Choctaw County,12577
1,25,Clarke County,23651
1,27,Clay County,13265
1,29,Cleburne County,14952
1,31,Coffee County,52639
1,33,Colbert County,55241
1,35,Conecuh County,12055
1,37,Coosa County,10677
1,39,Covington County,37082
1,41,Crenshaw County,13811
1,43,Cullman County,83644
1,45,Dale County,49294
1,47,Dallas County,37182
1,49,DeKalb County,71506
1,51,Elmore County,81575
1,53,Escambia County,36569
1,55,Etowah County,102460
1,57,Fayette County,16279
1,59,Franklin County,31587
1,61,Geneva County,26309
1,63,Greene County,8104
1,65,Hale County,14669
1,67,Henry County,17125
1,69,Houston County,106240
1,71,Jackson County,51672
1,73,Jefferson County,658539
1,75,Lamar County,13817
1,77,Lauderdale County,93028
1,79,Lawrence County,32851
1,81,Lee County,165015
1,83,Limestone County,99136
1,85,Lowndes County,9726
1,87,Macon County,18065
1,89,Madison County,372547
1,91,Marengo County,18919
1,93,Marion County,29826
1,95,Marshall County,96751
1,97,Mobile County,413516
1,99,Monroe County,20689
1,101,Montgomery County,226074
1,103,Morgan County,119630
1,105,Perry County,8940
1,107,Pickens County,19940
1,109,Pike County,33034
1,111,Randolph County,22781
1,113,Russell County,58098
1,115,St. Clair County,89735
1,117,Shelby County,218176
1,119,Sumter County,12358
1,121,Talladega County,80226
1,123,Tallapoosa County,40337
1,125,Tuscaloosa County,210321
1,127,Walker County,63680
1,129,Washington County,16279
1,131,Wilcox County,10396
1,133,Winston County,23700
2,0,Alaska,733603
2,13,Aleutians East Borough,3355
2,16,Aleutians West Census Area,5702
2,20,Anchorage Municipality,288790
2,50,Bethel Census Area,18493
2,60,Bristol Bay Borough,840
2,63,Chugach Census Area,6509
2,66,Copper River Census Area,2886
2,68,Denali Borough,2125
2,70,Dillingham Census Area,4932
2,90,Fairbanks North Star Borough,97088
2,100,Haines Borough,2561
