CTYNAME,GDP2019,CTYNAME,POPESTIMATE2019
Alabama,203383898.00,Alabama,4907965
Autauga,1540762.00,Autauga County,55769
Baldwin,7134734.00,Baldwin County,223565
Barbour,729105.00,Barbour County,24657
Bibb,380453.00,Bibb County,22313
Blount,932215.00,Blount County,57840
Bullock,247229.00,Bullock County,10144
Butler,615641.00,Butler County,19501
Calhoun,4114829.00,Calhoun County,114070
Chambers,817533.00,Chambers County,33244
Cherokee,527358.00,Cherokee County,26254
Chilton,980365.00,Chilton County,44313
Choctaw,492926.00,Choctaw County,12577
Clarke,736710.00,Clarke County,23651
Clay,419318.00,Clay County,13265
Cleburne,274512.00,Cleburne County,14952
Coffee,1315749.00,Coffee County,52639
Colbert,2341000.00,Colbert County,55241
Conecuh,466540.00,Conecuh County,12055
Coosa,176482.00,Coosa County,10677
Covington,1100109.00,Covington County,37082
Crenshaw,428320.00,Crenshaw County,13811
Cullman,2649646.00,Cullman County,83644
Dale,2522516.00,Dale County,49294
Dallas,1102126.00,Dallas County,37182
DeKalb,1857673.00,DeKalb County,71506
Elmore,1809270.00,Elmore County,81575
Escambia,1206764.00,Escambia County,36569
Etowah,2766192.00,Etowah County,102460
Fayette,321519.00,Fayette County,16279
Franklin,926671.00,Franklin County,31587
Geneva,526336.00,Geneva County,26309
Greene,218149.00,Greene County,8104
Hale,241685.00,Hale County,14669
Henry,407934.00,Henry County,17125
Houston,4957322.00,Houston County,106240
Jackson,1381755.00,Jackson County,51672
Jefferson,41244762.00,Jefferson County,658539
Lamar,305015.00,Lamar County,13817
Lauderdale,2367072.00,Lauderdale County,93028
Lawrence,501518.00,Lawrence County,32851
Lee,5603187.00,Lee County,165015
Limestone,3572973.00,Limestone County,99136
Lowndes,377807.00,Lowndes County,9726
Macon,478726.00,Macon County,18065
Madison,23670284.00,Madison County,372547
Marengo,681595.00,Marengo County,18919
Marion,792988.00,Marion County,29826
Marshall,3276199.00,Marshall County,96751
Mobile,18652926.00,Mobile County,413516
Monroe,599556.00,Monroe County,20689
Montgomery,12558288.00,Montgomery County,226074
Morgan,5135887.00,Morgan County,119630
Perry,192844.00,Perry County,8940
Pickens,429936.00,Pickens County,19940
Pike,1286294.00,Pike County,33034
Randolph,464111.00,Randolph County,22781
Russell,1313851.00,Russell County,58098
St. Clair,1871513.00,St. Clair County,89735
Shelby,10814962.00,Shelby County,218176
Sumter,294189.00,Sumter County,12358
Talladega,2864298.00,Talladega County,80226
Tallapoosa,1265550.00,Tallapoosa County,40337
Tuscaloosa,10491624.00,Tuscaloosa County,210321
Walker,1694530.00,Walker County,63680
Washington,789922.00,Washington County,16279
Wilcox,384636.00,Wilcox County,10396
Winston,698066.00,Winston County,23700
Alaska,53336499.00,Alaska,733603
Aleutians East Borough,211829.00,Aleutians East Borough,3355
Aleutians West Census Area,372939.00,Aleutians West Census Area,5702
Anchorage Municipality,21096610.00,Anchorage Municipality,288790
Bethel Census Area,669380.00,Bethel Census Area,18493
Bristol Bay Borough,125131.00,Bristol Bay Borough,840
Denali Borough,259591.00,Denali Borough,2125
Dillingham Census Area,239239.00,Dillingham Census Area,4932
Fairbanks North Star Borough,5254634.00,Fairbanks North Star Borough,97088
Haines Borough,108666.00,Haines Borough,2561
Hoonah-Angoon Census Area,99646.00,Hoonah-Angoon Census Area,2144
Juneau City and Borough,2302465.00,Juneau City and Borough,32038
Kenai Peninsula Borough,2703389.00,Kenai Peninsula Borough,58914
Ketchikan Gateway Borough,838509.00,Ketchikan Gateway Borough,13905
Kodiak Island Borough,717581.00,Kodiak Island Borough,13209
Kusilvak Census Area,141922.00,Kusilvak Census Area,8384
Lake and Peninsula Borough,85613.00,Lake and Peninsula Borough,1583
Matanuska-Susitna Borough,2556968.00,Matanuska-Susitna Borough,108578
Nome Census Area,407769.00,Nome Census Area,10040
North Slope Borough,10389622.00,North Slope Borough,9433
Northwest Arctic Borough,666604.00,Northwest Arctic Borough,7673
Petersburg Borough,185348.00,Petersburg Borough,3294
Prince of Wales-Hyder Census Area,263853.00,Prince of Wales-Hyder Census Area,6211
Sitka City and Borough,441235.00,Sitka City and Borough,8501
Skagway Municipality,99677.00,Skagway Municipality,1193
Southeast Fairbanks Census Area,602812.00,Southeast Fairbanks Census Area,6879
Wrangell City and Borough,94807.00,Wrangell City and Borough,2513
Yakutat City and Borough,28935.00,Yakutat City and Borough,576
Yukon-Koyukuk Census Area,270179.00,Yukon-Koyukuk Census Area,5254
Arizona,323894348.00,Arizona,7291843
Apache,2128397.00,Apache County,71920
Cochise,4280992.00,Cochise County,127248
Coconino,6829438.00,Coconino County,143967
Gila,1687658.00,Gila County,54077
Graham,947920.00,Graham County,38890
Greenlee,1576320.00,Greenlee County,9467
La Paz,682877.00,La Paz County,21257
Maricopa,233321462.00,Maricopa County,4492261
Mohave,5074156.00,Mohave County,213846
Navajo,2642699.00,Navajo County,111037
Pima,40179930.00,Pima County,1049261
Pinal,8585413.00,Pinal County,461640
Santa Cruz,1767253.00,Santa Cruz County,46728
Yavapai,6692200.00,Yavapai County,236062
Yuma,7384506.00,Yuma County,214182
Arkansas,116790945.00,Arkansas,3020985
Arkansas,966397.00,Arkansas County,17515
Ashley,677007.00,Ashley County,19742
Baxter,1278578.00,Baxter County,41978
Benton,14096756.00,Benton County,279835
Boone,1170571.00,Boone County,37616
Bradley,298606.00,Bradley County,10792
Calhoun,310815.00,Calhoun County,5137
Carroll,790413.00,Carroll County,28352
Chicot,242945.00,Chicot County,10189
Clark,714943.00,Clark County,22365
Clay,298149.00,Clay County,14494
Cleburne,715489.00,Cleburne County,25019
Cleveland,118887.00,Cleveland County,7937
Columbia,833191.00,Columbia County,23496
Conway,749372.00,Conway County,20905
Craighead,4334486.00,Craighead County,110772
Crawford,1547475.00,Crawford County,63406
Crittenden,1679445.00,Crittenden County,47924
Cross,397141.00,Cross County,16333
Dallas,190580.00,Dallas County,6951
Desha,511387.00,Desha County,11400
Drew,559291.00,Drew County,18092
Faulkner,3561759.00,Faulkner County,125828
Franklin,412443.00,Franklin County,17737
Fulton,163622.00,Fulton County,12516
Garland,3054365.00,Garland County,99472
Grant,385744.00,Grant County,18287
Greene,1329611.00,Greene County,45316
Hempstead,861068.00,Hempstead County,21568
Hot Spring,873798.00,Hot Spring County,33784
Howard,538514.00,Howard County,13219
Independence,1634129.00,Independence County,37819
Izard,258246.00,Izard County,13620
Jackson,640155.00,Jackson County,16782
Jefferson,2749951.00,Jefferson County,67137
Johnson,655736.00,Johnson County,26596
Lafayette,126838.00,Lafayette County,6656
Lawrence,394968.00,Lawrence County,16440
Lee,162592.00,Lee County,8889
Lincoln,220915.00,Lincoln County,13012
Little River,438064.00,Little River County,12368
Logan,438825.00,Logan County,21495
Lonoke,1193391.00,Lonoke County,73648
Madison,342893.00,Madison County,16519
Marion,545770.00,Marion County,16645
Miller,1233604.00,Miller County,43370
Mississippi,2570710.00,Mississippi County,40717
Monroe,175131.00,Monroe County,6723
Montgomery,125093.00,Montgomery County,9047
Nevada,223053.00,Nevada County,8205
Newton,91962.00,Newton County,7712
Ouachita,559672.00,Ouachita County,23372
Perry,136283.00,Perry County,10417
Phillips,473931.00,Phillips County,17769
Pike,211886.00,Pike County,10705
Poinsett,538448.00,Poinsett County,23502
Polk,489078.00,Polk County,19944
Pope,2600390.00,Pope County,64145
Prairie,164926.00,Prairie County,8093
Pulaski,26399358.00,Pulaski County,392318
Randolph,437346.00,Randolph County,18161
St. Francis,651201.00,St. Francis County,24977
Saline,2275529.00,Saline County,122550
Scott,255301.00,Scott County,10217
Searcy,156642.00,Searcy County,7862
Sebastian,6099593.00,Sebastian County,127688
Sevier,450128.00,Sevier County,16972
Sharp,304247.00,Sharp County,17276
Stone,215539.00,Stone County,12614
Union,2444503.00,Union County,38677
Van Buren,480600.00,Van Buren County,16529
Washington,10459272.00,Washington County,239392
White,2134793.00,White County,78621
Woodruff,212755.00,Woodruff County,6431
Yell,555952.00,Yell County,21376
California,2739343439.00,California,39437610
Alameda,126183638.00,Alameda County,1668412
Alpine,104501.00,Alpine County,1113
Amador,1625096.00,Amador County,39693
Butte,8701260.00,Butte County,218726
Calaveras,1412753.00,Calaveras County,46119
Colusa,1244078.00,Colusa County,21474
Contra Costa,79295699.00,Contra Costa County,1152883
Del Norte,704591.00,Del Norte County,27903
El Dorado,7435270.00,El Dorado County,193057
Fresno,42111573.00,Fresno County,997847
Glenn,1124597.00,Glenn County,28445
Humboldt,5185967.00,Humboldt County,135839
Imperial,8471316.00,Imperial County,180439
Inyo,1214209.00,Inyo County,17993
Kern,49221208.00,Kern County,898898
Kings,6054971.00,Kings County,152727
Lake,1875971.00,Lake County,64463
Lassen,1071584.00,Lassen County,30694
Los Angeles,703781312.00,Los Angeles County,10011602
Madera,6194111.00,Madera County,156717
Marin,27175273.00,Marin County,259085
Mariposa,775501.00,Mariposa County,17117
Mendocino,3295575.00,Mendocino County,86932
Merced,9119281.00,Merced County,277114
Modoc,414965.00,Modoc County,8866
Mono,1016599.00,Mono County,14450
Monterey,26819709.00,Monterey County,433380
Napa,9997969.00,Napa County,137678
Nevada,3982808.00,Nevada County,99648
Orange,231036264.00,Orange County,3170851
Placer,21472690.00,Placer County,398918
Plumas,1042571.00,Plumas County,19052
Riverside,80690542.00,Riverside County,2465569
Sacramento,83951132.00,Sacramento County,1551660
San Benito,2280142.00,San Benito County,62803
San Bernardino,83759253.00,San Bernardino County,2177279
San Diego,214035153.00,San Diego County,3330459
San Francisco,176392838.00,San Francisco County,878826
San Joaquin,28686598.00,San Joaquin County,761571
San Luis Obispo,15901604.00,San Luis Obispo County,282728
San Mateo,125850236.00,San Mateo County,764810
Santa Barbara,27183782.00,Santa Barbara County,445464
Santa Clara,325665794.00,Santa Clara County,1922411
Santa Cruz,14124562.00,Santa Cruz County,272870
Shasta,7608827.00,Shasta County,179645
Sierra,87671.00,Sierra County,2959
Siskiyou,1579641.00,Siskiyou County,43663
Solano,24048606.00,Solano County,447434
Sonoma,27657268.00,Sonoma County,492318
Stanislaus,21658223.00,Stanislaus County,549761
Sutter,3282757.00,Sutter County,96910
Tehama,1980076.00,Tehama County,65186
Trinity,357454.00,Trinity County,12337
Tulare,17762269.00,Tulare County,465751
Tuolumne,2404999.00,Tuolumne County,54290
Ventura,47846529.00,Ventura County,844203
Yolo,13964754.00,Yolo County,220019
Yuba,3087444.00,Yuba County,78549
Colorado,356773592.00,Colorado,5758486
Adams,25858619.00,Adams County,516575
Alamosa,641874.00,Alamosa County,16200
Arapahoe,44278392.00,Arapahoe County,656051
Archuleta,510854.00,Archuleta County,13928
Baca,128539.00,Baca County,3620
Bent,131212.00,Bent County,5578
Boulder,27502894.00,Boulder County,326020
Broomfield,6937897.00,Broomfield County,70617
Chaffee,743484.00,Chaffee County,20319
Cheyenne,186510.00,Cheyenne County,1824
Clear Creek,536445.00,Clear Creek County,9598
Conejos,198454.00,Conejos County,8169
Costilla,81632.00,Costilla County,3872
Crowley,125619.00,Crowley County,5989
Custer,120477.00,Custer County,5119
Delta,806409.00,Delta County,31021
Denver,74702568.00,Denver County,725508
Dolores,152722.00,Dolores County,2042
Douglas,17821178.00,Douglas County,351842
Eagle,3703041.00,Eagle County,55183
Elbert,651598.00,Elbert County,26707
El Paso,33127327.00,El Paso County,721929
Fremont,1271820.00,Fremont County,48009
Garfield,4427385.00,Garfield County,60031
Gilpin,540277.00,Gilpin County,6232
Grand,876168.00,Grand County,15748
Gunnison,1021921.00,Gunnison County,17480
Hinsdale,34036.00,Hinsdale County,789
Huerfano,260530.00,Huerfano County,6868
Jackson,140351.00,Jackson County,1397
Jefferson,30113572.00,Jefferson County,582800
Kiowa,76882.00,Kiowa County,1417
Kit Carson,364462.00,Kit Carson County,7161
Lake,299173.00,Lake County,8072
La Plata,3337450.00,La Plata County,56440
Larimer,18815195.00,Larimer County,357241
Las Animas,674763.00,Las Animas County,14415
Lincoln,349399.00,Lincoln County,5694
Logan,988146.00,Logan County,22409
Mesa,6039762.00,Mesa County,154552
Mineral,53697.00,Mineral County,756
Moffat,993518.00,Moffat County,13209
Montezuma,1990268.00,Montezuma County,26369
Montrose,1478875.00,Montrose County,42791
Morgan,1479665.00,Morgan County,28938
Otero,554988.00,Otero County,18243
Ouray,221293.00,Ouray County,5005
Park,409944.00,Park County,18881
Phillips,180001.00,Phillips County,4359
Pitkin,2040693.00,Pitkin County,17902
Prowers,502188.00,Prowers County,12106
Pueblo,5790286.00,Pueblo County,168409
Rio Blanco,807105.00,Rio Blanco County,6350
Rio Grande,435773.00,Rio Grande County,11277
Routt,1803011.00,Routt County,25579
Saguache,210208.00,Saguache County,6829
San Juan,33225.00,San Juan County,723
San Miguel,588502.00,San Miguel County,8169
Sedgwick,79740.00,Sedgwick County,2274
Summit,2401743.00,Summit County,30851
Teller,918493.00,Teller County,25408
Washington,183858.00,Washington County,4869
Weld,23686854.00,Weld County,324703
Yuma,563662.00,Yuma County,10020
Connecticut,251495134.00,Connecticut,3566022
Fairfield,81895069.00,Fairfield County,944388
Hartford,79002484.00,Hartford County,891349
Litchfield,7612070.00,Litchfield County,180396
Middlesex,8854701.00,Middlesex County,162538
New Haven,47182725.00,New Haven County,853818
New London,17508777.00,New London County,265784
Tolland,4961783.00,Tolland County,150865
Windham,4550511.00,Windham County,116884
Delaware,64262426.00,Delaware,976668
Kent,7681601.00,Kent County,181492
New Castle,44503725.00,New Castle County,559941
Sussex,12151829.00,Sussex County,235235
District of Columbia,124990299.00,District of Columbia,708253
Florida,971619168.00,Florida,21492056
Alachua,12675917.00,Alachua County,269489
Baker,598797.00,Baker County,29288
Bay,7770640.00,Bay County,173895
Bradford,608191.00,Bradford County,28348
Brevard,24488126.00,Brevard County,601024
Broward,99667401.00,Broward County,1955475
Calhoun,228221.00,Calhoun County,14140
Charlotte,5132804.00,Charlotte County,189669
Citrus,3889873.00,Citrus County,150153
Clay,5044563.00,Clay County,219014
Collier,17915539.00,Collier County,385917
Columbia,2160466.00,Columbia County,71766
DeSoto,973502.00,DeSoto County,37821
Dixie,280960.00,Dixie County,16887
Duval,60575324.00,Duval County,959853
Escambia,14286019.00,Escambia County,319379
Flagler,2605838.00,Flagler County,115481
Franklin,344397.00,Franklin County,12113
Gadsden,1182620.00,Gadsden County,45670
Gilchrist,345971.00,Gilchrist County,18572
Glades,354905.00,Glades County,13914
Gulf,381387.00,Gulf County,13498
Hamilton,458490.00,Hamilton County,14470
Hardee,964327.00,Hardee County,26806
Hendry,1299512.00,Hendry County,42069
Hernando,3966234.00,Hernando County,194290
Highlands,2426133.00,Highlands County,105890
Hillsborough,85153512.00,Hillsborough County,1476431
Holmes,372328.00,Holmes County,19661
Indian River,6251797.00,Indian River County,159739
