,index,CTYNAME,GDP2019,CTYNAME,POPESTIMATE2019
0,2.0,Alabama,"203,383,898",Alabama,4907965
1,3.0,Autauga,"1,540,762",Autauga County,55769
2,4.0,Baldwin,"7,134,734",Baldwin County,223565
3,5.0,Barbour,"729,105",Barbour County,24657
4,6.0,Bibb,"380,453",Bibb County,22313
5,7.0,Blount,"932,215",Blount County,57840
6,8.0,Bullock,"247,229",Bullock County,10144
7,9.0,Butler,"615,641",Butler County,19501
8,10.0,Calhoun,"4,114,829",Calhoun County,114070
9,11.0,Chambers,"817,533",Chambers County,33244
10,12.0,Cherokee,"527,358",Cherokee County,26254
11,13.0,Chilton,"980,365",Chilton County,44313
12,14.0,Choctaw,"492,926",Choctaw County,12577
13,15.0,Clarke,"736,710",Clarke County,23651
14,16.0,Clay,"419,318",Clay County,13265
15,17.0,Cleburne,"274,512",Cleburne County,14952
16,18.0,Coffee,"1,315,749",Coffee County,52639
17,19.0,Colbert,"2,341,000",Colbert County,55241
18,20.0,Conecuh,"466,540",Conecuh County,12055
19,21.0,Coosa,"176,482",Coosa County,10677
20,22.0,Covington,"1,100,109",Covington County,37082
21,23.0,Crenshaw,"428,320",Crenshaw County,13811
22,24.0,Cullman,"2,649,646",Cullman County,83644
23,25.0,Dale,"2,522,516",Dale County,49294
24,26.0,Dallas,"1,102,126",Dallas County,37182
25,27.0,DeKalb,"1,857,673",DeKalb County,71506
26,28.0,Elmore,"1,809,270",Elmore County,81575
27,29.0,Escambia,"1,206,764",Escambia County,36569
28,30.0,Etowah,"2,766,192",Etowah County,102460
29,31.0,Fayette,"321,519",Fayette County,16279
30,32.0,Franklin,"926,671",Franklin County,31587
31,33.0,Geneva,"526,336",Geneva County,26309
32,34.0,Greene,"218,149",Greene County,8104
33,35.0,Hale,"241,685",Hale County,14669
34,36.0,Henry,"407,934",Henry County,17125
35,37.0,Houston,"4,957,322",Houston County,106240
36,38.0,Jackson,"1,381,755",Jackson County,51672
37,39.0,Jefferson,"41,244,762",Jefferson County,658539
38,40.0,Lamar,"305,015",Lamar County,13817
39,41.0,Lauderdale,"2,367,072",Lauderdale County,93028
40,42.0,Lawrence,"501,518",Lawrence County,32851
41,43.0,Lee,"5,603,187",Lee County,165015
